"gid","female","male","type","N","rep","MPS","SRA","NAE"
1,NA,NA,"parent","low",1,0.311,0.119,0.275
2,NA,NA,"parent","low",1,0.394,0.119,0.32
3,NA,NA,"parent","low",1,0.336,0.111,0.28
4,NA,NA,"parent","low",1,0.191,0.15,0.171
5,NA,NA,"parent","low",1,0.2,0.132,0.183
6,NA,NA,"parent","low",1,0.252,0.104,0.189
7,NA,NA,"parent","low",1,0.166,0.145,0.159
8,NA,NA,"parent","low",1,0.172,0.114,0.096
9,NA,NA,"parent","low",1,0.142,0.119,0.1
10,NA,NA,"parent","low",1,0.32,0.131,0.125
11,NA,NA,"parent","low",1,0.132,0.141,0.109
12,NA,NA,"parent","low",1,0.177,0.138,0.16
13,NA,NA,"parent","low",1,0.172,0.125,0.182
14,NA,NA,"parent","low",1,0.145,0.112,0.133
18,1,8,"sc","low",1,0.437,0.121,0.318
19,1,9,"sc","low",1,0.412,0.102,0.312
110,1,10,"sc","low",1,0.488,0.121,0.379
112,1,12,"sc","low",1,0.553,0.111,0.38
113,1,13,"sc","low",1,0.388,0.13,0.27
114,1,14,"sc","low",1,0.511,0.101,0.392
28,2,8,"sc","low",1,0.386,0.114,0.264
211,2,11,"sc","low",1,0.508,0.111,0.388
212,2,12,"sc","low",1,0.496,0.117,0.364
213,2,13,"sc","low",1,0.431,0.115,0.292
39,3,9,"sc","low",1,0.486,0.13,0.349
311,3,11,"sc","low",1,0.371,0.122,0.206
312,3,12,"sc","low",1,0.267,0.114,0.187
313,3,13,"sc","low",1,0.236,0.113,0.177
314,3,14,"sc","low",1,0.372,0.126,0.268
48,4,8,"sc","low",1,0.378,0.12,0.278
49,4,9,"sc","low",1,0.5,0.117,0.34
411,4,11,"sc","low",1,0.377,0.103,0.277
412,4,12,"sc","low",1,0.658,0.099,0.443
413,4,13,"sc","low",1,0.322,0.123,0.231
414,4,14,"sc","low",1,0.257,0.115,0.193
58,5,8,"sc","low",1,0.497,0.123,0.409
59,5,9,"sc","low",1,0.363,0.127,0.231
510,5,10,"sc","low",1,0.407,0.121,0.298
511,5,11,"sc","low",1,0.394,0.108,0.28
512,5,12,"sc","low",1,0.635,0.12,0.45
513,5,13,"sc","low",1,0.508,0.13,0.373
514,5,14,"sc","low",1,0.423,0.141,0.284
68,6,8,"sc","low",1,0.282,0.14,0.227
69,6,9,"sc","low",1,0.423,0.126,0.327
610,6,10,"sc","low",1,0.393,0.101,0.345
611,6,11,"sc","low",1,0.459,0.102,0.281
612,6,12,"sc","low",1,0.364,0.122,0.336
613,6,13,"sc","low",1,0.397,0.105,0.289
79,7,9,"sc","low",1,0.38,0.128,0.267
710,7,10,"sc","low",1,0.425,0.101,0.301
711,7,11,"sc","low",1,0.394,0.104,0.266
712,7,12,"sc","low",1,0.375,0.128,0.286
713,7,13,"sc","low",1,0.32,0.12,0.24
714,7,14,"sc","low",1,0.377,0.093,0.239
1,NA,NA,"parent","low",2,0.136,0.133,0.113
2,NA,NA,"parent","low",2,0.449,0.107,0.408
3,NA,NA,"parent","low",2,0.182,0.092,0.182
4,NA,NA,"parent","low",2,0.229,0.124,0.198
5,NA,NA,"parent","low",2,0.179,0.117,0.165
6,NA,NA,"parent","low",2,0.479,0.101,0.406
7,NA,NA,"parent","low",2,0.126,0.115,0.116
8,NA,NA,"parent","low",2,0.24,0.088,0.166
9,NA,NA,"parent","low",2,0.277,0.112,0.218
10,NA,NA,"parent","low",2,0.233,0.1,0.249
11,NA,NA,"parent","low",2,0.286,0.11,0.198
12,NA,NA,"parent","low",2,0.31,0.107,0.234
13,NA,NA,"parent","low",2,0.358,0.114,0.318
14,NA,NA,"parent","low",2,0.129,0.12,0.143
18,1,8,"sc","low",2,0.415,0.1,0.316
19,1,9,"sc","low",2,0.578,0.106,0.445
110,1,10,"sc","low",2,0.675,0.093,0.508
112,1,12,"sc","low",2,0.538,0.114,0.425
113,1,13,"sc","low",2,0.493,0.13,0.395
114,1,14,"sc","low",2,0.595,0.102,0.452
28,2,8,"sc","low",2,0.462,0.107,0.429
211,2,11,"sc","low",2,0.533,0.113,0.428
212,2,12,"sc","low",2,0.619,0.109,0.489
39,3,9,"sc","low",2,0.496,0.107,0.222
311,3,11,"sc","low",2,0.356,0.128,0.333
312,3,12,"sc","low",2,0.488,0.123,0.416
313,3,13,"sc","low",2,0.251,0.13,0.155
314,3,14,"sc","low",2,0.321,0.094,0.229
48,4,8,"sc","low",2,0.666,0.125,0.538
49,4,9,"sc","low",2,0.609,0.105,0.418
411,4,11,"sc","low",2,0.374,0.118,0.311
412,4,12,"sc","low",2,0.378,0.119,0.298
413,4,13,"sc","low",2,0.413,0.113,0.329
414,4,14,"sc","low",2,0.459,0.108,0.27
58,5,8,"sc","low",2,0.499,0.114,0.372
59,5,9,"sc","low",2,0.506,0.109,0.406
510,5,10,"sc","low",2,0.46,0.089,0.364
511,5,11,"sc","low",2,0.564,0.097,0.41
512,5,12,"sc","low",2,0.511,0.117,0.395
513,5,13,"sc","low",2,0.452,0.088,0.368
514,5,14,"sc","low",2,0.483,0.102,0.352
68,6,8,"sc","low",2,0.29,0.141,0.226
69,6,9,"sc","low",2,0.505,0.122,0.389
610,6,10,"sc","low",2,0.447,0.118,0.303
611,6,11,"sc","low",2,0.732,0.109,0.451
612,6,12,"sc","low",2,0.622,0.121,0.492
613,6,13,"sc","low",2,0.649,0.104,0.474
710,7,10,"sc","low",2,0.337,0.103,0.235
711,7,11,"sc","low",2,0.558,0.109,0.375
712,7,12,"sc","low",2,0.2,0.124,0.165
713,7,13,"sc","low",2,0.474,0.103,0.363
714,7,14,"sc","low",2,0.535,0.084,0.249
1,NA,NA,"parent","ideal",1,0.593,0.119,0.067
2,NA,NA,"parent","ideal",1,0.763,0.097,0.08
3,NA,NA,"parent","ideal",1,0.488,0.106,0.046
4,NA,NA,"parent","ideal",1,0.542,0.115,0.044
5,NA,NA,"parent","ideal",1,0.549,0.128,0.054
6,NA,NA,"parent","ideal",1,0.792,0.107,0.081
7,NA,NA,"parent","ideal",1,0.34,0.113,0.035
8,NA,NA,"parent","ideal",1,0.345,0.087,0.033
9,NA,NA,"parent","ideal",1,0.506,0.107,0.054
10,NA,NA,"parent","ideal",1,0.427,0.105,0.044
11,NA,NA,"parent","ideal",1,0.425,0.095,0.037
12,NA,NA,"parent","ideal",1,0.453,0.107,0.045
13,NA,NA,"parent","ideal",1,0.543,0.111,0.048
14,NA,NA,"parent","ideal",1,0.116,0.112,0.013
18,1,8,"sc","ideal",1,0.963,0.117,0.105
19,1,9,"sc","ideal",1,1.166,0.096,0.108
110,1,10,"sc","ideal",1,0.69,0.108,0.062
112,1,12,"sc","ideal",1,1.069,0.127,0.107
113,1,13,"sc","ideal",1,1.072,0.118,0.095
114,1,14,"sc","ideal",1,1.335,0.095,0.125
28,2,8,"sc","ideal",1,0.825,0.109,0.084
211,2,11,"sc","ideal",1,1.044,0.121,0.102
212,2,12,"sc","ideal",1,0.951,0.121,0.096
213,2,13,"sc","ideal",1,0.925,0.097,0.088
38,3,8,"sc","ideal",1,0.836,0.125,0.073
39,3,9,"sc","ideal",1,0.637,0.12,0.058
311,3,11,"sc","ideal",1,0.854,0.117,0.088
312,3,12,"sc","ideal",1,0.562,0.146,0.059
313,3,13,"sc","ideal",1,0.51,0.106,0.055
314,3,14,"sc","ideal",1,0.737,0.135,0.073
48,4,8,"sc","ideal",1,1.07,0.135,0.095
49,4,9,"sc","ideal",1,1.015,0.102,0.089
411,4,11,"sc","ideal",1,0.978,0.099,0.096
412,4,12,"sc","ideal",1,0.513,0.115,0.045
413,4,13,"sc","ideal",1,0.623,0.123,0.056
414,4,14,"sc","ideal",1,0.786,0.123,0.085
58,5,8,"sc","ideal",1,1.139,0.121,0.109
59,5,9,"sc","ideal",1,1.1,0.119,0.103
510,5,10,"sc","ideal",1,0.732,0.115,0.081
511,5,11,"sc","ideal",1,1.004,0.107,0.102
512,5,12,"sc","ideal",1,1.159,0.144,0.122
513,5,13,"sc","ideal",1,0.996,0.134,0.09
514,5,14,"sc","ideal",1,0.906,0.126,0.072
68,6,8,"sc","ideal",1,0.437,0.159,0.046
69,6,9,"sc","ideal",1,1.042,0.132,0.124
610,6,10,"sc","ideal",1,1.052,0.131,0.11
611,6,11,"sc","ideal",1,1.356,0.131,0.149
612,6,12,"sc","ideal",1,1.105,0.163,0.115
613,6,13,"sc","ideal",1,1.102,0.17,0.107
79,7,9,"sc","ideal",1,0.847,0.144,0.099
710,7,10,"sc","ideal",1,0.575,0.136,0.068
711,7,11,"sc","ideal",1,0.844,0.154,0.091
712,7,12,"sc","ideal",1,1.002,0.158,0.126
713,7,13,"sc","ideal",1,0.972,0.171,0.12
714,7,14,"sc","ideal",1,0.674,0.125,0.082
1,NA,NA,"parent","ideal",2,0.416,0.138,0.053
2,NA,NA,"parent","ideal",2,1.03,0.129,0.127
3,NA,NA,"parent","ideal",2,0.465,0.111,0.053
4,NA,NA,"parent","ideal",2,0.393,0.128,0.045
5,NA,NA,"parent","ideal",2,0.545,0.149,0.066
6,NA,NA,"parent","ideal",2,0.356,0.129,0.04
7,NA,NA,"parent","ideal",2,0.258,0.105,0.028
8,NA,NA,"parent","ideal",2,0.277,0.118,0.03
9,NA,NA,"parent","ideal",2,0.362,0.145,0.041
10,NA,NA,"parent","ideal",2,0.386,0.126,0.044
11,NA,NA,"parent","ideal",2,0.394,0.112,0.046
12,NA,NA,"parent","ideal",2,0.551,0.129,0.062
13,NA,NA,"parent","ideal",2,0.302,0.156,0.036
14,NA,NA,"parent","ideal",2,0.065,0.141,0.008
18,1,8,"sc","ideal",2,0.641,0.112,0.079
19,1,9,"sc","ideal",2,1.14,0.117,0.127
110,1,10,"sc","ideal",2,0.871,0.095,0.098
112,1,12,"sc","ideal",2,1.6,0.102,0.18
113,1,13,"sc","ideal",2,1.008,0.104,0.096
114,1,14,"sc","ideal",2,0.665,0.112,0.059
28,2,8,"sc","ideal",2,0.806,0.107,0.078
211,2,11,"sc","ideal",2,1.143,0.12,0.119
212,2,12,"sc","ideal",2,0.95,0.119,0.093
39,3,9,"sc","ideal",2,0.994,0.126,0.096
311,3,11,"sc","ideal",2,0.6,0.135,0.063
312,3,12,"sc","ideal",2,0.599,0.141,0.068
313,3,13,"sc","ideal",2,0.671,0.112,0.075
314,3,14,"sc","ideal",2,0.587,0.125,0.059
48,4,8,"sc","ideal",2,0.627,0.144,0.068
49,4,9,"sc","ideal",2,1.082,0.123,0.107
411,4,11,"sc","ideal",2,1.096,0.129,0.132
412,4,12,"sc","ideal",2,1.341,0.101,0.12
413,4,13,"sc","ideal",2,0.68,0.118,0.075
414,4,14,"sc","ideal",2,0.706,0.113,0.079
58,5,8,"sc","ideal",2,1.029,0.133,0.111
59,5,9,"sc","ideal",2,1.205,0.122,0.138
510,5,10,"sc","ideal",2,1.083,0.117,0.132
511,5,11,"sc","ideal",2,1.343,0.11,0.159
512,5,12,"sc","ideal",2,1.568,0.171,0.186
513,5,13,"sc","ideal",2,1.214,0.129,0.132
514,5,14,"sc","ideal",2,0.566,0.117,0.059
68,6,8,"sc","ideal",2,0.541,0.14,0.06
69,6,9,"sc","ideal",2,1.402,0.118,0.162
